X,Y,OBJECTID,DCA_ID,TITLE,TYPE,NUMBER_,LOCATION,GANUM,COUNTY_ID,COUNTY_FIP,COUNTY_NM,SDR_NUMBER,RDC_NUMBER,RDC_2001,LONGITUDE,LATITUDE,CONDITION,COMMENT,GlobalID,last_edited_date
-84.750601143095267,33.750300728862435,1,962,Douglas County,GHM,048-1,Old Courthouse in Douglasville on US 78,648,13097,097,Douglas,3,1,Atlanta Regional Commission RDC,-84.750597,33.750294,1, ,{CA0BD64C-9786-42B6-9A4B-DECFADAD6B91},
-84.633550360245408,33.753657038329983,2,961,Blue Star Memorial Highway,GCG, ,Factory Shoals Rd E of Mt Vernon Rd in Sweetwater Creek Park,0,13097,097,Douglas,3,1,Atlanta Regional Commission RDC,-84.633546,33.753651,1, ,{1C829E92-4613-4C8F-81E2-D0425C5BBF78},
-84.583096086085988,33.725380588977181,3,1236,Sandtown,GHM,060-129,Fulton County Industrial Blvd at Boat Rock Rd,1756,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.583092,33.725374,1, ,{A32B35BE-5435-40A4-B0C6-ECF7587F866D},
-84.558656218291844,33.708714117017742,4,1137,Dry Pond,GHM,060-166,Campbellton Rd at Boat Rock Rd,1598,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.558652,33.708708,1, ,{3F2C43CC-8DD8-4282-B30E-BF631AF72CD6},
-84.580060677450419,33.698858161132847,5,1182,Historic Owl Rock Church,GHM,060-189,Campbellton Rd just below Camp Creek Parkway,1703,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.580056,33.698852,1, ,{966A2A61-8B80-451C-A614-2D94D6EA3FB2},
-84.515717625510177,33.668495602542428,6,1211,Mt. Gilead M.E. Church Organized 1824,GHM,060-167,"Fairburn Rd north of Redwine Rd, Atlanta",1599,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.515713,33.668489,1, ,{417FC122-42EC-40C1-91BD-0050918A3684},
-84.515439415167378,33.669397821604534,7,1181,Historic Mt. Gilead Methodist Church,GHM,060-111A,"Fairburn Rd north of Redwine Rd, Atlanta",1109,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.515435,33.669391,1, ,{F02F0979-8B6F-4724-8EAF-39A02CEAE610},
-84.522746539181568,33.611219425617499,8,1245,Site: Old Red Oak P.O.-1864,GHM,060-168,"US 29 (Roosevelt Hwy) at Welcome All Rd, Red Oak",1600,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.522742,33.611213,3, ,{E387D789-2CDD-47E6-BF14-430B356A65E4},
-84.579818232997653,33.567094890485933,9,1216,Old Campbell County,GHM,060-24A,"Old Campbell County Courthouse, E. Broad St, Fairburn",677,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.579814,33.567089,1, ,{91A0A84E-E7A3-42AB-8BD6-9B07E31EAB0A},
-84.669541006574534,33.517464048784582,10,1130,Confederate Army of Tennessee,GHM,060-112,"Old Railroad Depot, US 29, Palmetto",1125,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.669537,33.517458,1, ,{828870FA-4673-49E2-A615-4EF3CED56026},
-84.669549888963303,33.517440306693757,11,1226,Palmetto,WPA,29 I-B,"Old Railroad Depot, US 29, Palmetto",0,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.669546,33.517434,1, ,{1A539379-7052-4CEC-8415-7908A28E9F59},
-84.459361713857504,33.560014745257007,12,1111,Bethsaida Baptist Church and Cemetery, , ,Bethsaida Road at the Fulton/Clayton County line,0,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.459357,33.560008,1, ,{85668DB7-AD78-4890-A2C1-EC0060700BE6},
-84.460803283662159,33.560631424699508,13,1189,Howard's March to Jonesboro,GHM,060-170,Bethsaida Rd E of Old National Hwy near Fulton-Clayton line,1602,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.460799,33.560625,1, ,{4B4DDE16-3EEC-4CE7-9E91-12FFCAE5D120},
